fold,AUROC,AUPRC,ACC,SEN,SPE,MCC
1,0.8767733763516534,0.8677723401668759,0.7807321772639692,0.7650316455696202,0.7956423741547709,0.5610576639961494
2,0.8848494160667244,0.8798063180191688,0.7907514450867053,0.805379746835443,0.7768595041322314,0.5820981017208043
3,0.8663298628612731,0.8551472677960682,0.7703275529865126,0.8069620253164557,0.7355371900826446,0.5432145511456632
4,0.8665789142074579,0.8528441160804747,0.7795761078998074,0.803006329113924,0.7573253193087904,0.5604179304001643
5,0.8876525810992021,0.8801299122408194,0.7938342967244701,0.759493670886076,0.8264462809917356,0.58772781008718
