fold,AUROC,AUPRC,ACC,SEN,SPE,MCC
1,0.9003432616153051,0.8965130433143197,0.8167850969848282,0.8424894352669996,0.7910906298003072,0.6344146494502461
2,0.9061591759006652,0.9038702490663548,0.8204340311119647,0.8547829427583558,0.7860983102918587,0.6423928634310908
3,0.901307749005195,0.8969120576959383,0.8160169003264836,0.860161352285824,0.771889400921659,0.6345208285261493
4,0.8528572136722783,0.8642567137698879,0.795083541386595,0.8501728774490972,0.7400153609831029,0.5937945211914045
5,0.8976457213200177,0.8943447180948225,0.8079508354138659,0.8424894352669996,0.7734254992319508,0.6173840394209331
