fold,AUROC,AUPRC,ACC,SEN,SPE,MCC
1,0.8622032161980681,0.8390891767923833,0.7873443983402489,0.7925311203319502,0.7821576763485477,0.5747197198299476
2,0.8737775692567276,0.8589827302045933,0.7816390041493776,0.779045643153527,0.7842323651452282,0.5632855851280643
3,0.8695829961605345,0.8447301497883574,0.7852697095435685,0.7925311203319502,0.7780082987551867,0.5705995955101067
4,0.8683820870852774,0.849862954401097,0.7754149377593361,0.7655601659751037,0.7852697095435685,0.5509368960689418
5,0.8669508961622562,0.8516374002254307,0.774896265560166,0.7468879668049793,0.8029045643153527,0.5506571522227113
